temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco,ingested_at
2.8,-0.3,80.0,0.0,0.0,223.0,16.7,31.5,1000.2,0.0,7.0,2025-12-13 09:38:49.740769+00:00
2.6,-0.7,79.0,0.0,0.0,226.0,16.7,31.5,1000.3,0.0,3.0,2025-12-13 09:38:49.740769+00:00
2.6,-0.5,80.0,0.0,0.0,226.0,16.7,31.5,1000.1,0.0,3.0,2025-12-13 09:38:49.740769+00:00
2.5,-0.4,81.0,0.0,0.0,226.0,16.7,31.5,1000.1,0.0,3.0,2025-12-13 09:38:49.740769+00:00
2.6,-0.5,80.0,0.0,0.0,226.0,16.7,31.5,1000.0,0.0,3.0,2025-12-13 09:38:49.740769+00:00
2.5,-0.8,79.0,0.0,0.0,223.0,16.7,31.5,999.7,0.0,4.0,2025-12-13 09:38:49.740769+00:00
2.4,-0.7,80.0,0.0,0.0,226.0,16.7,31.5,999.8,0.0,4.0,2025-12-13 09:38:49.740769+00:00
2.4,-0.9,79.0,0.0,0.0,226.0,16.7,31.5,1000.0,0.0,4.0,2025-12-13 09:38:49.740769+00:00
2.4,-0.7,80.0,0.0,0.0,229.0,16.7,33.3,1000.6,0.0,4.0,2025-12-13 09:38:49.740769+00:00
2.6,-0.7,79.0,0.0,0.0,232.0,18.5,33.3,1001.1,3.0,4.0,2025-12-13 09:38:49.740769+00:00
2.8,-0.8,77.0,0.0,0.0,235.0,18.5,35.2,1001.6,6.0,4.0,2025-12-13 09:38:49.740769+00:00
3.7,-0.9,72.0,0.0,0.0,241.0,16.7,35.2,1001.7,7.0,4.0,2025-12-13 09:38:49.740769+00:00
4.3,-1.1,68.0,0.0,0.0,244.0,18.5,37.0,1002.0,8.0,3.0,2025-12-13 09:38:49.740769+00:00
4.6,-1.2,66.0,0.0,0.0,245.0,20.4,42.6,1002.3,10.0,3.0,2025-12-13 09:38:49.740769+00:00
4.8,-1.6,63.0,0.0,0.0,242.0,20.4,42.6,1002.8,13.0,3.0,2025-12-13 09:38:49.740769+00:00
4.3,-1.9,64.0,0.0,0.0,238.0,20.4,40.8,1003.3,15.0,3.0,2025-12-13 09:38:49.740769+00:00
4.0,-2.0,65.0,0.0,0.0,231.0,18.5,38.9,1003.6,13.0,2.0,2025-12-13 09:38:49.740769+00:00
3.6,-1.6,69.0,0.0,0.0,221.0,16.7,31.5,1003.9,5.0,2.0,2025-12-13 09:38:49.740769+00:00
2.9,-1.8,71.0,0.0,0.0,219.0,16.7,29.6,1004.2,0.0,2.0,2025-12-13 09:38:49.740769+00:00
2.6,-2.1,71.0,0.0,0.0,211.0,14.8,25.9,1004.2,0.0,2.0,2025-12-13 09:38:49.740769+00:00
2.0,-2.1,74.0,0.0,0.0,208.0,14.8,24.1,1004.3,0.0,2.0,2025-12-13 09:38:49.740769+00:00
1.7,-2.1,76.0,0.0,0.0,204.0,14.8,24.1,1004.3,0.0,2.0,2025-12-13 09:38:49.740769+00:00
1.6,-2.2,76.0,0.0,0.0,193.0,13.0,22.2,1004.0,0.0,2.0,2025-12-13 09:38:49.740769+00:00
1.2,-1.9,80.0,0.0,0.0,186.0,13.0,20.4,1003.4,0.0,3.0,2025-12-13 09:38:49.740769+00:00
1.2,-1.5,82.0,0.0,0.0,183.0,11.1,20.4,1003.0,0.0,3.0,2025-12-13 09:38:49.740769+00:00
1.0,-1.2,85.0,0.0,0.0,174.0,11.1,18.5,1002.4,0.0,4.0,2025-12-13 09:38:49.740769+00:00
0.7,-0.9,89.0,0.0,0.0,161.0,9.3,18.5,1001.7,0.0,4.0,2025-12-13 09:38:49.740769+00:00
0.5,-0.6,92.0,0.2,0.0,144.0,9.3,16.7,1000.9,0.0,4.0,2025-12-13 09:38:49.740769+00:00
0.6,-0.5,92.0,0.4,0.0,127.0,7.4,16.7,1000.3,0.0,12.0,2025-12-13 09:38:49.740769+00:00
1.2,-0.4,89.0,0.5,0.0,79.0,7.4,14.8,999.1,0.0,12.0,2025-12-13 09:38:49.740769+00:00
1.2,-0.3,90.0,0.0,0.0,84.0,7.4,16.7,998.8,0.0,12.0,2025-12-13 09:38:49.740769+00:00
1.3,-0.3,89.0,0.0,0.0,74.0,7.4,16.7,998.8,0.0,7.0,2025-12-13 09:38:49.740769+00:00
1.3,-0.2,90.0,0.0,0.0,75.0,7.4,16.7,998.6,0.0,7.0,2025-12-13 09:38:49.740769+00:00
1.5,0.0,90.0,0.1,0.0,73.0,9.3,16.7,998.5,0.0,7.0,2025-12-13 09:38:49.740769+00:00
1.5,0.5,93.0,0.2,0.0,68.0,9.3,16.7,998.4,0.0,7.0,2025-12-13 09:38:49.740769+00:00
1.5,0.3,92.0,0.4,0.0,46.0,7.4,14.8,998.5,0.0,7.0,2025-12-13 09:38:49.740769+00:00
1.5,0.5,93.0,0.6,0.0,50.0,9.3,16.7,997.8,0.0,7.0,2025-12-13 09:38:49.740769+00:00
1.5,0.6,94.0,0.4,0.0,54.0,9.3,18.5,997.2,0.0,7.0,2025-12-13 09:38:49.740769+00:00
1.3,1.0,98.0,0.3,0.0,47.0,11.1,20.4,996.4,0.0,8.0,2025-12-13 09:38:49.740769+00:00
1.4,1.0,97.0,1.4,0.0,33.0,13.0,22.2,995.7,0.0,8.0,2025-12-13 09:38:49.740769+00:00
1.6,0.7,94.0,1.8,0.0,13.0,13.0,24.1,995.6,0.0,8.0,2025-12-13 09:38:49.740769+00:00
1.8,1.2,96.0,2.0,0.0,7.0,14.8,27.8,995.4,0.0,8.0,2025-12-13 09:38:49.740769+00:00
1.1,1.0,99.0,2.5,1.0,344.0,20.4,37.0,995.6,0.0,8.0,2025-12-13 09:38:49.740769+00:00
0.4,0.4,100.0,2.1,1.0,337.0,22.2,40.8,996.0,0.0,15.0,2025-12-13 09:38:49.740769+00:00
